"","occurrence","direction","gene_symbol"
"MDM21",1,"down","MDM21"
"MKI671",1,"down","MKI671"
"MMP131",1,"up","MMP131"
"MMP31",1,"up","MMP31"
"MMP91",1,"up","MMP91"
"MTOR1",1,"up","MTOR1"
"MYC1",1,"down","MYC1"
"NFE2L21",1,"down","NFE2L21"
"NFKB11",1,"up","NFKB11"
"NOS31",1,"down","NOS31"
"NOX41",1,"up","NOX41"
"PML1",1,"up","PML1"
"PPARGC1A1",1,"down","PPARGC1A1"
"PRKAA1",1,"down","PRKAA1"
"PTEN1",1,"down","PTEN1"
"PTGS21",1,"up","PTGS21"
"RB11",1,"up","RB11"
"RELA1",1,"up","RELA1"
"RPS6KB11",1,"up","RPS6KB11"
"SERPINE11",1,"up","SERPINE11"
"SIRT11",1,"down","SIRT11"
"SIRT31",1,"down","SIRT31"
"SIRT61",1,"down","SIRT61"
"SQSTM11",1,"up","SQSTM11"
"STAT31",1,"up","STAT31"
"TERT1",1,"down","TERT1"
"TGFB11",1,"up","TGFB11"
"TNF1",1,"up","TNF1"
"TP531",1,"up","TP531"
